         407929 function calls (402446 primitive calls) in 1.088 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 ./pyproject/state/state_machine.py:28(IsInState)
       86    0.000    0.000    0.000    0.000 /usr/lib/python2.7/encodings/utf_8.py:15(decode)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ssl.py:114(_import_symbols)
        6    0.000    0.000    0.000    0.000 ./pylib/ffext.py:82(session_logic_callback)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:4742(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/formatting.py:170(Font)
      193    0.001    0.000    0.002    0.000 /usr/lib/python2.7/posixpath.py:329(normpath)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3215(ParseExpression)
        1    0.000    0.000    0.000    0.000 ./pyproject/gas/gas_game_rule/game_rule_mgr.py:8(__init__)
        1    0.000    0.000    0.003    0.003 ./pyproject/proto/common_info_pb2.py:4(<module>)
        1    0.000    0.000    0.001    0.001 build/bdist.linux-x86_64/egg/google/protobuf/descriptor_pool.py:56(<module>)
        1    0.000    0.000    0.172    0.172 /usr/lib/python2.7/email/message.py:5(<module>)
        3    0.000    0.000    0.000    0.000 ./pyproject/compment/base_compment.py:8(GetOwner)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2758(EggInfoDistribution)
       49    0.000    0.000    0.003    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1028(SerializeToString)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1574(_register)
        3    0.000    0.000    0.001    0.000 ./pyproject/gas/gas_room_mgr/gas_room_mgr.py:142(GacGasCreateRoom)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:1081(__init__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python2.7/warnings.py:67(filterwarnings)
    12103    0.031    0.000    0.069    0.000 /usr/lib/python2.7/sre_parse.py:212(get)
        3    0.000    0.000    0.000    0.000 ./pyproject/gas/gas_game_rule/game_rule_mgr.py:14(GetGameRule)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/calendar.py:52(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3788(__init__)
       49    0.000    0.000    0.002    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1048(InternalSerialize)
      596    0.009    0.000    0.010    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:343(_cmpkey)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ssl.py:329(SSLContext)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor.py:75(DescriptorBase)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/packaging/markers.py:59(Variable)
        1    0.001    0.001    0.004    0.004 /usr/lib/python2.7/zipfile.py:3(<module>)
       26    0.000    0.000    0.000    0.000 ./pyproject/entity/base_entity.py:14(SetScene)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1014(addinfourl)
        2    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        1    0.021    0.021    0.195    0.195 /usr/lib/python2.7/email/parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2724(Regex)
        1    0.000    0.000    0.420    0.420 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:3018(_initialize_master_working_set)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/iterators.py:5(<module>)
    106/2    0.001    0.000    0.003    0.001 /usr/local/lib/python2.7/dist-packages/pyparsing.py:1347(_parseNoCache)
      263    0.000    0.000    0.000    0.000 {method 'write' of 'cStringIO.StringO' objects}
       60    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ssl.py:495(_get_https_context_factory)
       13    0.000    0.000    0.001    0.000 /usr/lib/python2.7/pprint.py:233(format)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/sheet.py:2307(Colinfo)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3420(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:264(ParseSyntaxException)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/parser.py:17(Parser)
       50    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/plistlib.py:365(Data)
        1    0.000    0.000    0.000    0.000 ./pyproject/rpc/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:36(InvalidVersion)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/calendar.py:47(_localized_month)
    82/80    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:349(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/calendar.py:28(IllegalWeekdayError)
       87    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       30    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:320(convert_filename)
     4978    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.008    0.001 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1815(_has)
32966/32965    0.026    0.000    0.026    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:159(_resolve)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2331(Empty)
        3    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
      197    0.000    0.000    0.001    0.000 /usr/lib/python2.7/json/encoder.py:33(encode_basestring)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:415(X12SST)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3057(__init__)
      232    0.000    0.000    0.000    0.000 /usr/lib/python2.7/stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:120(URLopener)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1433(NullProvider)
        1    0.000    0.000    0.000    0.000 ./pyproject/util/enum_def.py:74(EStatusInRoom)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_abcoll.py:98(__subclasshook__)
      134    0.001    0.000    0.003    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3219(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/packaging/specifiers.py:589(SpecifierSet)
        3    0.000    0.000    0.000    0.000 ./pyproject/entity/gas_player_entity.py:80(Serial2Client)
      157    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:387(_DefaultValueConstructorForField)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/encodings/__init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 ./pyproject/util/util.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/errors.py:29(CharsetError)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:796(_AddHasFieldMethod)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:413(register_loader_type)
      332    0.000    0.000    0.001    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/timemachine.py:36(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3894(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:430(Module_six_moves_urllib_response)
      140    0.001    0.000    0.001    0.000 {method 'read' of 'file' objects}
     1475    0.001    0.000    0.002    0.000 /usr/lib/python2.7/sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/zipfile.py:1375(PyZipFile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:55(Error)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:423(_Semaphore)
        7    0.000    0.000    0.000    0.000 {sys._getframe}
       28    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor_pb2.py:5(<lambda>)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:240(_AddSlots)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:780(_set_ident)
       12    0.000    0.000    0.002    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2609(from_filename)
        1    0.000    0.000    0.039    0.039 /usr/lib/python2.7/platform.py:10(<module>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/sheet.py:561(tidy_dimensions)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:3006(_initialize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 ./pyproject/db/dbs_def.py:3(<module>)
     2214    0.000    0.000    0.000    0.000 {ord}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:552(_Event)
       49    0.000    0.000    0.001    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3499(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3482(MatchFirst)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/UserDict.py:103(__contains__)
        1    0.001    0.001    0.005    0.005 ./pyproject/gas/gas_room_mgr/gas_room_obj.py:4(<module>)
    13938    0.024    0.000    0.038    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:114(_parse_version_parts)
      482    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       82    0.001    0.000    0.001    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3678(__init__)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:729(_AddPropertiesForExtensions)
        1    0.000    0.000    0.000    0.000 ./pyproject/rpc/rpc_def.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/tempfile.py:18(<module>)
      108    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:184(find_module)
        1    0.000    0.000    0.070    0.070 /usr/local/lib/python2.7/dist-packages/packaging/specifiers.py:4(<module>)
       96    0.000    0.000    0.005    0.000 {map}
        1    0.001    0.001    0.001    0.001 /usr/lib/python2.7/io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1584(EmptyProvider)
       26    0.000    0.000    0.000    0.000 ./pyproject/util/util.py:6(dict_merge)
      152    0.000    0.000    0.000    0.000 {iter}
      480    0.001    0.000    0.001    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/encoder.py:372(EncodeVarint)
        1    0.000    0.000    0.000    0.000 ./pyproject/state/__init__.py:1(<module>)
       87    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:120(dirname)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/_parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3777(NotAny)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/type_checkers.py:44(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:4185(TokenConverter)
       95    0.001    0.000    0.211    0.002 /usr/lib/python2.7/sre_compile.py:567(compile)
      368    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ssl.py:300(_ASN1Object)
        1    0.001    0.001    0.070    0.070 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:774(open_workbook_2007_xml)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/platform.py:390(_popen)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:280(X12Book)
     1992    0.002    0.000    0.002    0.000 {getattr}
       26    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 ./pyproject/entity/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:573(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/compdoc.py:37(DirNode)
       60    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1847(__init__)
35595/35088    0.005    0.000    0.006    0.000 {len}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3403(Or)
       19    0.000    0.000    0.008    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1632(load)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2090(_rebuild_mod_path)
      175    0.001    0.000    0.001    0.000 /usr/lib/python2.7/sre_parse.py:236(_class_escape)
      444    0.003    0.000    0.004    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2394(<lambda>)
        1    0.000    0.000    0.000    0.000 ./pyproject/gas/gas_mj/__init__.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2934(CharsNotIn)
        3    0.000    0.000    0.000    0.000 ./pyproject/state/state_machine.py:18(Enter)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3139(StringStart)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/xml/etree/ElementTree.py:580(QName)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/pstats.py:62(__init__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python2.7/random.py:91(__init__)
        4    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:263(_StructPackDecoder)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3020(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:182(ParseBaseException)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/formula.py:654(Ref3D)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
       49    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1112(IsInitialized)
        1    0.000    0.000    0.000    0.000 ./pyproject/util/enum_def.py:70(RoomMemberProperty)
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3540(<genexpr>)
       26    0.000    0.000    0.001    0.000 ./pyproject/entity/base_entity.py:8(__init__)
       60    0.000    0.000    0.001    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:1862(_warn_on_replacement)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:87(checkgroup)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:44(normcase)
        1    0.000    0.000    0.066    0.066 /usr/local/lib/python2.7/dist-packages/packaging/specifiers.py:275(Specifier)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:621(__getattr__)
        1    0.000    0.000    0.000    0.000 ./pyproject/entity/const_entity.py:4(ConstError)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/xlsx.py:482(do_cellxfs)
      168    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
